Location,Age,Sex,Cause of death or injury,Measure,Value,Categoría
Global,All ages,Both,Viral skin diseases,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Acne vulgaris,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Acne vulgaris,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Alopecia areata,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Alopecia areata,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Pruritus,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Pruritus,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Urticaria,Percent of total deaths 2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Urticaria,Deaths annual % change 2010-2017,0,Enfermedades Dermatológicas
Global,All ages,Both,Decubitus ulcer,Percent of total deaths 2017,"0,000363475",Enfermedades Crónicas
Global,All ages,Both,Decubitus ulcer,Deaths annual % change 2010-2017,"0,006573373",Enfermedades Crónicas
Global,All ages,Both,Other skin and subcutaneous diseases,Percent of total deaths 2017,"7,043379768e-05",Enfermedades Dermatológicas
Global,All ages,Both,Other skin and subcutaneous diseases,Deaths annual % change 2010-2017,"0,010922179",Enfermedades Dermatológicas
Global,All ages,Both,Age-related and other hearing loss,Percent of total deaths 2017,0,Enfermedades Respiratorias
Global,All ages,Both,Age-related and other hearing loss,Deaths annual % change 2010-2017,0,Enfermedades Respiratorias
Global,All ages,Both,Other sense organ diseases,Percent of total deaths 2017,0,Otras Causas
Global,All ages,Both,Other sense organ diseases,Deaths annual % change 2010-2017,0,Otras Causas
Global,All ages,Both,Oral disorders,Percent of total deaths 2017,0,Enfermedades Crónicas
Global,All ages,Both,Oral disorders,Deaths annual % change 2010-2017,0,Enfermedades Crónicas
Global,All ages,Both,Sudden infant death syndrome,Percent of total deaths 2017,"0,000714247",Otras Causas
Global,All ages,Both,Sudden infant death syndrome,Deaths annual % change 2010-2017,"-0,031187378",Otras Causas
Global,All ages,Both,Road injuries,Percent of total deaths 2017,"0,022219143",Accidentes y Lesiones
Global,All ages,Both,Road injuries,Deaths annual % change 2010-2017,"-0,010375795",Accidentes y Lesiones
Global,All ages,Both,Other transport injuries,Percent of total deaths 2017,"0,001643303",Accidentes y Lesiones
Global,All ages,Both,Other transport injuries,Deaths annual % change 2010-2017,"-0,009912403",Accidentes y Lesiones
Global,All ages,Both,Falls,Percent of total deaths 2017,"0,012436616",Accidentes y Lesiones
Global,All ages,Both,Falls,Deaths annual % change 2010-2017,"0,008766794",Accidentes y Lesiones
Global,All ages,Both,Drowning,Percent of total deaths 2017,"0,005276737",Accidentes y Lesiones
Global,All ages,Both,Drowning,Deaths annual % change 2010-2017,"-0,035210560",Accidentes y Lesiones
Global,All ages,Both,"Fire, heat, and hot substances",Percent of total deaths 2017,"0,002156220",Accidentes y Lesiones
Global,All ages,Both,"Fire, heat, and hot substances",Deaths annual % change 2010-2017,"-0,025456084",Accidentes y Lesiones
Global,All ages,Both,Poisonings,Percent of total deaths 2017,"0,001293577",Accidentes y Lesiones
Global,All ages,Both,Poisonings,Deaths annual % change 2010-2017,"-0,022476461",Accidentes y Lesiones
Global,All ages,Both,Exposure to mechanical forces,Percent of total deaths 2017,"0,002439780",Otras Causas
Global,All ages,Both,Exposure to mechanical forces,Deaths annual % change 2010-2017,"-0,018845633",Otras Causas
Global,All ages,Both,Adverse effects of medical treatment,Percent of total deaths 2017,"0,002173023",Accidentes y Lesiones
Global,All ages,Both,Adverse effects of medical treatment,Deaths annual % change 2010-2017,"-0,000545556",Accidentes y Lesiones
Global,All ages,Both,Animal contact,Percent of total deaths 2017,"0,001449132",Accidentes y Lesiones
Global,All ages,Both,Animal contact,Deaths annual % change 2010-2017,"-0,015247583",Accidentes y Lesiones
Global,All ages,Both,Foreign body,Percent of total deaths 2017,"0,002218385",Accidentes y Lesiones
Global,All ages,Both,Foreign body,Deaths annual % change 2010-2017,"-0,018306921",Accidentes y Lesiones
Global,All ages,Both,Other unintentional injuries,Percent of total deaths 2017,"0,001692386",Accidentes y Lesiones
Global,All ages,Both,Other unintentional injuries,Deaths annual % change 2010-2017,"-0,015994059",Accidentes y Lesiones
Global,All ages,Both,Self-harm,Percent of total deaths 2017,"0,014189188",Accidentes y Lesiones
Global,All ages,Both,Self-harm,Deaths annual % change 2010-2017,"-0,015167672",Accidentes y Lesiones
Global,All ages,Both,Interpersonal violence,Percent of total deaths 2017,"0,007245421",Accidentes y Lesiones
Global,All ages,Both,Interpersonal violence,Deaths annual % change 2010-2017,"-0,017668332",Accidentes y Lesiones
Global,All ages,Both,Exposure to forces of nature,Percent of total deaths 2017,"0,000171651",Otras Causas
Global,All ages,Both,Exposure to forces of nature,Deaths annual % change 2010-2017,"0,197107156",Otras Causas
Global,All ages,Both,Environmental heat and cold exposure,Percent of total deaths 2017,"0,000953613",Otras Causas
Global,All ages,Both,Environmental heat and cold exposure,Deaths annual % change 2010-2017,"0,088792252",Otras Causas
Global,All ages,Both,Ebola,Percent of total deaths 2017,"1,431924102e-07",Enfermedades Infecciosas
Global,All ages,Both,Ebola,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Executions and police conflict,Percent of total deaths 2017,"0,000285264",Accidentes y Lesiones
Global,All ages,Both,Executions and police conflict,Deaths annual % change 2010-2017,"-0,023241329",Accidentes y Lesiones
Global,All ages,Both,Zika virus,Percent of total deaths 2017,"3,467865475e-07",Enfermedades Infecciosas
Global,All ages,Both,Zika virus,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Guinea worm disease,Percent of total deaths 2017,0,Enfermedades Infecciosas
Global,All ages,Both,Guinea worm disease,Deaths annual % change 2010-2017,0,Enfermedades Infecciosas
Global,All ages,Both,Conflict and terrorism,Percent of total deaths 2017,"0,002318740",Accidentes y Lesiones
Global,All ages,Both,Conflict and terrorism,Deaths annual % change 2010-2017,"0,032575746",Accidentes y Lesiones
Global,All ages,Both,Typhoid and paratyphoid,Percent of total deaths 2017,"0,002429596",Enfermedades Infecciosas
Global,All ages,Both,Typhoid and paratyphoid,Deaths annual % change 2010-2017,"-0,032146392",Enfermedades Infecciosas
Global,All ages,Both,Invasive Non-typhoidal Salmonella (iNTS),Percent of total deaths 2017,"0,001055769",Enfermedades Infecciosas
Global,All ages,Both,Invasive Non-typhoidal Salmonella (iNTS),Deaths annual % change 2010-2017,"-0,033155552",Enfermedades Infecciosas
Global,All ages,Both,Headache disorders,Percent of total deaths 2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Headache disorders,Deaths annual % change 2010-2017,0,Enfermedades Neurológicas y Psiquiátricas
Global,All ages,Both,Bacterial skin diseases,Percent of total deaths 2017,"0,001358617",Enfermedades Dermatológicas
Global,All ages,Both,Bacterial skin diseases,Deaths annual % change 2010-2017,"0,015782883",Enfermedades Dermatológicas
Global,All ages,Both,Blindness and vision impairment,Percent of total deaths 2017,0,Enfermedades Respiratorias
Global,All ages,Both,Blindness and vision impairment,Deaths annual % change 2010-2017,0,Enfermedades Respiratorias
Global,All ages,Both,Upper digestive system diseases,Percent of total deaths 2017,"0,005221383",Enfermedades Digestivas
Global,All ages,Both,Upper digestive system diseases,Deaths annual % change 2010-2017,"-0,021066596",Enfermedades Digestivas
